638592742,77.12
1165772171,158.84
638592745,76.44
278270060,63.54
1165772166,158.62
638592747,75.96
707144413,169.18
610411676,82.24
638592751,76.06
26607761,56.38
1912500471,87.28
26607768,57.57
610411890,74.36
1207453417,77.03
370022172,57.15
1207453419,76.97
26607746,55.66
1912500454,87.33
8296656798,54.74
7340864657,160.86
7340864659,161.08
7340864658,160.68
6179287413,63.65
8296656801,55.49
26607793,56.42
6179287414,63.64
26607802,56.2
7016456987,53.34
7016456986,51.51
1912500431,88.42
392042090,114.46
26607776,56.93
392042089,108.17
392042087,106.49
1424250335,58.17
26607784,56.9
3763134735,60.68
3763134731,60.04
9175180202,61.8
9299831552,131.71
26607813,56.06
4463528795,56.37
6038251145,61.77
26607863,58.67
6038251144,59.52
6038251149,59.36
6038251148,59.8
6038251151,59.29
6038251150,59.33
1912500375,88.97
148375987,142.46
3763134754,60.38
26607847,57.92
6038251153,59.52
26607855,58.5
6038251152,59.55
8296656895,56.77
8296656894,56.78
26607851,58.15
86115420,60.02
6038251158,57.76
148638046,154.75
8603435335,71.75
1309167493,60.66
574890964,177.08
7466040471,60.69
7466040470,60.63
392042184,104.68
7466040469,60.49
7466040475,60.73
392042183,104.11
7466040474,60.73
7466040473,60.75
7466040472,60.72
7466040477,60.77
7466040476,60.75
7519388056,53.83
26607672,58.35
31719508,59.07
99353692,54.05
7523713474,51.74
5366758947,80.38
5366758946,80.49
5366758945,80.44
1912500285,92.17
26607696,58.4
31326232,56.05
5366758949,80.36
5366758948,80.37
31326230,56.35
31326231,58.38
258346668,48.11
258346667,50.04
5366758962,80.33
5366758961,80.44
26607683,58.4
99353654,52.69
4354605651,54.97
26607689,58.34
26607730,57.17
26607738,55.69
402921975,57.25
402921983,57.58
26607723,56.3
6766367054,56.79
6766367053,58.49
3314337679,63.82
1301958559,58.78
6766367050,58.39
3314337666,63.72
1756129983,71.7
1756129976,77.29
1756129977,73.11
1756129978,71.3
1756129973,70.07
1756129974,74.07
1756129975,78.57
6766367060,56.96
6766367059,57.07
4354605458,51.9
1301958590,57.73
4586345338,73.17
148507378,146.7
83756757,65.08
1301958582,57.05
6034449822,58.23
1301958568,57.04
146541308,69.04
146541304,61.63
1756130025,82.06
4586345242,74.0
4354605513,52.05
1756130027,82.5
1756130020,82.42
1756130021,81.29
1756130022,81.31
9981415608,94.41
355604345,148.99
1301958609,57.68
1756130023,81.64
1301958614,56.48
1756130017,82.99
1756130018,83.66
1756130019,83.49
287839097,62.91
1165772590,158.54
258346290,47.57
9981939886,160.6
258346291,48.03
